"","X","hosp","week","year","Location","temp","inverse_temp","humid_smooth","odds_frequency","incident","time","t","humid_smooth_mult","pop_size_2023","hosp_per_100k","date","mean_indoor"
"1",1,5096,1,2022,"CA",8.30103092220177,20.8203963385636,78,0.649457891608603,0.0227524507853701,2022.01923076923,1,0,39198693,13.0004334583298,2019-01-06,110.79823879015
"2",2,9016,2,2022,"CA",9.37255452309016,19.7488727376752,78,1.0953599434084,0.0301264381442514,2022.03846153846,2,0,39198693,23.0007668878143,2019-01-13,113.65012239435
"3",3,11681,3,2022,"CA",9.82977665795566,19.2916506028097,78.7367671203692,1.44362699956778,0.0157612057796587,2022.05769230769,3,0,39198693,29.7994629565838,2019-01-20,104.408526367328
"4",4,11720,4,2022,"CA",9.95566136402462,19.1657658967407,73.1937986751073,1.93074178762641,0.0116334831197901,2022.07692307692,4,0,39198693,29.8989560697853,2019-01-27,114.213391664182
"5",5,9329,5,2022,"CA",9.3377585502898,19.7836687104755,68.8348975948445,2.27551282581923,0.00556345080179076,2022.09615384615,5,0,39198693,23.7992628988931,2019-02-03,115.591561002038
"6",6,6977,6,2022,"CA",11.4517652048934,17.6696620558719,65.0739872770346,2.71221612488745,0.0180928311393784,2022.11538461538,6,0,39198693,17.7990628412024,2019-02-10,115.722701493112
"7",7,5135,7,2022,"CA",13.1380879625457,15.9833392982196,62.1204091192922,2.92577142041505,0.014796284151617,2022.13461538462,7,0,39198693,13.0999265715314,2019-02-17,104.44527267295
"8",8,3253,8,2022,"CA",9.21082511340433,19.910602147361,62.1666373596155,3.16539718488618,0.0124744635405743,2022.15384615385,8,0,39198693,8.29874608319211,2019-02-24,117.062380760485
"9",9,2234,9,2022,"CA",11.2215475688362,17.8998796919291,60.4914432664094,2.86325225604855,0.00933992875731851,2022.17307692308,9,0,39198693,5.69916961261948,2019-03-03,113.529297127673
"10",10,1646,10,2022,"CA",10.7476157460597,18.3738115147056,61.9831208198456,2.6019761341291,0.00794682108406012,2022.19230769231,10,0,39198693,4.19911959819681,2019-03-10,96.207014388839
"11",11,1137,11,2022,"CA",12.3827805791039,16.7386466816614,64.3385240022329,1.77663226828175,0.00666154863887936,2022.21153846154,11,0,39198693,2.90060691564385,2019-03-17,100.925495769109
"12",12,1098,12,2022,"CA",13.537382391572,15.5840448691933,64.2585893006594,1.25901067997271,0.00570954410818408,2022.23076923077,12,0,39198693,2.80111380244234,2019-03-24,98.1090311191588
"13",13,902,13,2022,"CA",12.2631478623136,16.8582793984517,62.9896717125718,1.05878607120367,0.00717215239804041,2022.25,13,0,39198693,2.30109713096812,2019-03-31,102.502451463676
"14",14,549,14,2022,"CA",15.1644538459998,13.9569734147656,63.328694545958,2.13633858635709,0.0113640183530269,2022.26923076923,14,0,39198693,1.40055690122117,2019-04-07,92.4753276892694
"15",15,941,15,2022,"CA",13.2378378179567,15.8835894428086,63.47556512095,3.10487267828545,0.015467182370936,2022.28846153846,15,0,39198693,2.40059024416962,2019-04-14,91.5312508156436
"16",16,902,16,2022,"CA",11.9262735570324,17.1951537037329,60.3542917708995,4.93885223786396,0.0153263443418041,2022.30769230769,16,0,39198693,2.30109713096812,2019-04-21,94.9567745198568
"17",17,1254,17,2022,"CA",12.9508937580945,16.1705335026709,62.6398044723818,3.84115700922093,0.0128472055603146,2022.32692307692,17,0,39198693,3.19908625524836,2019-04-28,97.8153045398286
"18",18,1646,18,2022,"CA",14.8882813016518,14.2331459591136,61.7408734281954,3.08594076497217,0.00945826603623407,2022.34615384615,18,0,39198693,4.19911959819681,2019-05-05,97.8490170815359
"19",19,1999,19,2022,"CA",12.1794597458374,16.941967514928,56.1161284266117,1.99041891170972,0.00931508949375769,2022.36538461538,19,0,39198693,5.09965982794375,2019-05-12,104.151582868778
"20",20,2587,20,2022,"CA",17.3250549101753,11.79637235059,54.9726272420937,1.35815163322774,0.00945234747155132,2022.38461538462,20,0,39198693,6.59970984236643,2019-05-19,96.2585959982608
"21",21,3214,21,2022,"CA",19.6786729504785,9.44275431028686,55.0651348143362,0.919700248220784,0.00999398117687239,2022.40384615385,21,0,39198693,8.19925296999061,2019-05-26,85.327314614412
"22",22,3724,22,2022,"CA",16.7549473207027,12.3664799400626,53.9181570962631,1.18080807017284,0.00949203416892836,2022.42307692308,22,0,39198693,9.50031675801027,2019-06-02,88.1288593858031
"23",23,3881,23,2022,"CA",17.8867867898824,11.2346404708829,54.2689662979944,1.23213269104299,0.00832318567356314,2022.44230769231,23,0,39198693,9.900840316283,2019-06-09,92.2604368820778
"24",24,3724,24,2022,"CA",20.4166265271095,8.70480073365586,54.2983427564463,1.2859313548162,0.00731188494813674,2022.46153846154,24,0,39198693,9.50031675801027,2019-06-16,88.5388822665714
"25",25,3449,25,2022,"CA",19.8515547358012,9.26987252496415,56.7147964269217,0.937000384491415,0.00566327555870293,2022.48076923077,25,0,39198693,8.79876275466633,2019-06-23,89.3114418777046
"26",26,4704,26,2022,"CA",19.164316127973,9.95711113279237,58.6445214727221,0.680486251957407,0.00512170137917608,2022.5,26,0,39198693,12.0004001153814,2019-06-30,82.0704295002613
"27",27,4469,27,2022,"CA",16.9390040630432,12.1824231977221,60.557141505694,1.02072745613177,0.00525492861033232,2022.51923076923,27,0,39198693,11.4008903307057,2019-07-07,93.153192761779
"28",28,4743,28,2022,"CA",19.4600466876559,9.66138057310943,63.3461993413402,1.80788393180363,0.00675837159502571,2022.53846153846,28,0,39198693,12.0998932285829,2019-07-14,91.1310310744287
"29",29,5292,29,2022,"CA",19.8940988072551,9.22732845351026,64.0635058323565,2.5690364704158,0.00739299309460819,2022.55769230769,29,0,39198693,13.5004501298041,2019-07-21,89.5917600753505
"30",30,4704,30,2022,"CA",18.2570993911936,10.8643278695717,63.7921657399216,3.89631428463864,0.00749899152674979,2022.57692307692,30,0,39198693,12.0004001153814,2019-07-28,93.7271573375823
"31",31,4743,31,2022,"CA",19.3501226460347,9.77130461473065,63.6322207161454,4.88613422227072,0.00646937386407245,2022.59615384615,31,0,39198693,12.0998932285829,2019-08-04,90.3132353358683
"32",32,4077,32,2022,"CA",19.224773363976,9.89665389678935,64.0616748325823,6.3775514601445,0.00539997596348429,2022.61538461538,32,0,39198693,10.4008569877572,2019-08-11,95.3632579892983
"33",33,3763,33,2022,"CA",21.2378304268754,7.88359683388996,64.1451400545806,7.62259726636812,0.00458988092621693,2022.63461538462,33,0,39198693,9.59980987121178,2019-08-18,90.3572877903036
"34",34,2979,34,2022,"CA",20.3044484998494,8.81697876091589,60.9588972522806,9.37319142332304,0.00403732848949835,2022.65384615385,34,0,39198693,7.59974318531488,2019-08-25,92.704467577594
"35",35,2940,35,2022,"CA",18.7478093673381,10.3736178934273,59.35796833974,9.32236343824969,0.00306995780020862,2022.67307692308,35,0,39198693,7.50025007211337,2019-09-01,93.1407442942642
"36",36,2626,36,2022,"CA",24.8815069760795,4.23992028468586,62.5527000713009,9.27203113223553,0.00438204236384445,2022.69230769231,36,0,39198693,6.69920295556793,2019-09-08,96.2172473139053
"37",37,2470,37,2022,"CA",19.9767250372454,9.14470222351998,63.511118591387,8.6636965164888,0.0073040955727784,2022.71153846154,37,0,39198693,6.30123050276192,2019-09-15,93.2859593231355
"38",38,2078,38,2022,"CA",17.0027107976961,12.1187164630692,66.3952312292261,8.12338737218072,0.0111966233159866,2022.73076923077,38,0,39198693,5.30119715981347,2019-09-22,97.60682416598
"39",39,1725,39,2022,"CA",18.6411058696066,10.4803213911587,71.4435593738875,6.83816868501079,0.0135022699183703,2022.75,39,0,39198693,4.40065693006652,2019-09-29,95.9785956828683
"40",40,1803,40,2022,"CA",18.0425944137622,11.0788328470032,71.8624868826841,5.87033871722022,0.00943857150203111,2022.76923076923,40,0,39198693,4.59964315646953,2019-10-06,94.5373764969544
"41",41,1686,41,2022,"CA",16.9460867433403,12.175340517425,68.6163968800391,4.17106920041788,0.0149258462945861,2022.78846153846,41,0,39198693,4.30116381686502,2019-10-13,93.8954563529566
"42",42,1921,42,2022,"CA",17.3678856489205,11.7535416118448,67.8358637116717,3.14569674212279,0.0100524695215391,2022.80769230769,42,0,39198693,4.90067360154075,2019-10-20,95.9744229426388
"43",43,1646,43,2022,"CA",14.9176275414534,14.2037997193119,69.127040675554,2.23967002791541,0.0101032790387509,2022.82692307692,43,0,39198693,4.19911959819681,2019-10-27,96.8716099759357
"44",44,1686,44,2022,"CA",12.5625213597348,16.5589059010305,68.8147292319166,1.65863513638146,0.0100692302844553,2022.84615384615,44,0,39198693,4.30116381686502,2019-11-03,102.162570306355
"45",45,2195,45,2022,"CA",10.7197656773913,18.401661583374,68.0407853614386,1.16061868855083,0.018577796288599,2022.86538461538,45,0,39198693,5.59967649941798,2019-11-10,101.53611697302
"46",46,2430,46,2022,"CA",9.95406365606597,19.1673636046994,68.4335897128467,0.819743677266643,0.0185578721549041,2022.88461538462,46,0,39198693,6.19918628409371,2019-11-17,103.161354560531
"47",47,2509,47,2022,"CA",10.544997245035,18.5764300157304,69.9514288813861,0.601953102965983,0.00993896233564045,2022.90384615385,47,0,39198693,6.40072361596342,2019-11-24,113.597771668665
"48",48,3214,48,2022,"CA",9.91389278166212,19.2075344791032,71.9377427908821,0.430721485127258,0.00455512636607551,2022.92307692308,48,0,39198693,8.19925296999061,2019-12-01,119.847641099068
"49",49,3881,49,2022,"CA",8.15167914321105,20.9697481175543,77.1161487462057,0.375335589562664,0.0076403737917146,2022.94230769231,49,0,39198693,9.900840316283,2019-12-08,116.623502799432
"50",50,4508,50,2022,"CA",7.71928330187639,21.4021439588889,82.8594894473494,0.427394744605597,0.00647910207958549,2022.96153846154,50,0,39198693,11.5003834439072,2019-12-15,125.255913641805
"51",51,4194,51,2022,"CA",6.52975347588061,22.5916737848847,84.9166159857983,0.460180734748577,0.0080067635588428,2022.98076923077,51,0,39198693,10.6993363273617,2019-12-22,107.885720402463
"52",52,4116,52,2022,"CA",9.42525364896871,19.6961736117966,84.2169952426332,0.516146476462032,0.00660239700679135,2023,52,0,39198693,10.5003501009587,2019-12-29,108.239079004765
"53",53,4155,53,2022,"CA",12.7126584262657,16.4087688344996,84.4260259968408,0.565707810132865,0.00608308547430395,2023.01923076923,53,0,39198693,10.5998432141602,NA,100
"54",54,3998,2,2023,"CA",11.3700226877223,17.751404573043,79.9377026156801,0.618618865171469,0.00556377394181654,2023.03846153846,54,0,39198693,10.1993196558875,2019-01-13,113.65012239435
"55",55,2744,3,2023,"CA",8.25910140158928,20.8623258591761,75.9510749361394,0.578805934811032,0.00498795542324161,2023.05769230769,55,0,39198693,7.00023340063915,2019-01-20,104.408526367328
"56",56,2470,4,2023,"CA",8.76360662288956,20.3578206378758,75.013231848192,0.540904532471411,0.0041213789109414,2023.07692307692,56,0,39198693,6.30123050276192,2019-01-27,114.213391664182
"57",57,2038,5,2023,"CA",7.23045569874882,21.8909715620165,72.603105381333,0.451375460512944,0.00277227780698368,2023.09615384615,57,0,39198693,5.19915294114526,2019-02-03,115.591561002038
