"","Location","slope_pos","date","week","year"
"1","CA",0,2022-06-11,24,2022
"2","CA",1,2022-06-25,26,2022
"3","CA",1,2022-07-09,28,2022
"4","CA",1,2022-07-23,30,2022
"5","CA",1,2022-08-06,32,2022
"6","CA",1,2022-08-20,34,2022
"7","CA",0,2022-09-03,36,2022
"8","CA",0,2022-09-17,38,2022
"9","CA",0,2022-10-01,40,2022
"10","CA",0,2022-10-15,42,2022
"11","CA",0,2022-10-29,44,2022
"12","CA",0,2022-11-12,46,2022
"13","CA",0,2022-11-26,48,2022
"14","CA",0,2022-12-10,50,2022
"15","CA",0,2022-12-24,52,2022
"16","CA",0,2023-12-09,50,2023
"17","CA",1,2023-12-23,52,2023
"18","CA",1,2024-01-06,1,2024
"19","CA",1,2024-01-20,3,2024
"20","CA",0,2024-02-03,5,2024
"21","CA",0,2024-02-17,7,2024
"22","CA",0,2024-03-02,9,2024
"23","CA",0,2024-03-16,11,2024
"24","CA",0,2024-03-30,13,2024
"25","CA",0,2024-04-13,15,2024
"26","CA",0,2024-04-27,17,2024
"27","CA",0,2024-05-11,19,2024
"28","CA",0,2024-05-25,21,2024
"29","CA",0,2024-06-08,23,2024
"30","CA",0,2023-01-21,4,2023
"31","CA",1,2023-02-04,6,2023
"32","CA",1,2023-02-18,8,2023
"33","CA",1,2023-03-04,10,2023
"34","CA",1,2023-03-18,12,2023
"35","CA",1,2023-04-01,14,2023
"36","CA",1,2023-04-15,16,2023
"37","CA",0,2023-04-29,18,2023
"38","CA",0,2023-05-13,20,2023
"39","CA",0,2023-05-27,22,2023
"40","CA",0,2023-06-10,24,2023
"41","CA",0,2023-06-24,26,2023
"42","CA",0,2023-07-08,28,2023
"43","CA",0,2023-07-22,30,2023
"44","CA",0,2023-08-05,32,2023
"45","CA",0,2023-08-19,34,2023
"46","CA",1,2022-06-18,25,2022
"47","CA",1,2022-07-02,27,2022
"48","CA",1,2022-07-16,29,2022
"49","CA",1,2022-07-30,31,2022
"50","CA",1,2022-08-13,33,2022
"51","CA",1,2022-08-27,35,2022
"52","CA",0,2022-09-10,37,2022
"53","CA",0,2022-09-24,39,2022
"54","CA",0,2022-10-08,41,2022
"55","CA",0,2022-10-22,43,2022
"56","CA",0,2022-11-05,45,2022
"57","CA",0,2022-11-19,47,2022
"58","CA",0,2022-12-03,49,2022
"59","CA",0,2022-12-17,51,2022
"60","CA",1,2023-12-16,51,2023
"61","CA",1,2023-12-30,53,2023
"62","CA",1,2024-01-13,2,2024
"63","CA",1,2024-01-27,4,2024
"64","CA",0,2024-02-10,6,2024
"65","CA",0,2024-02-24,8,2024
"66","CA",0,2024-03-09,10,2024
"67","CA",0,2024-03-23,12,2024
"68","CA",0,2024-04-06,14,2024
"69","CA",0,2024-04-20,16,2024
"70","CA",0,2024-05-04,18,2024
"71","CA",0,2024-05-18,20,2024
"72","CA",0,2024-06-01,22,2024
"73","CA",1,2023-01-28,5,2023
"74","CA",1,2023-02-11,7,2023
"75","CA",1,2023-02-25,9,2023
"76","CA",1,2023-03-11,11,2023
"77","CA",1,2023-03-25,13,2023
"78","CA",1,2023-04-08,15,2023
"79","CA",0,2023-04-22,17,2023
"80","CA",0,2023-05-06,19,2023
"81","CA",0,2023-05-20,21,2023
"82","CA",0,2023-06-03,23,2023
"83","CA",0,2023-06-17,25,2023
"84","CA",0,2023-07-01,27,2023
"85","CA",0,2023-07-15,29,2023
"86","CA",0,2023-07-29,31,2023
"87","CA",0,2023-08-12,33,2023
"88","CO",0,2022-06-11,24,2022
"89","CO",1,2022-06-25,26,2022
"90","CO",1,2022-07-09,28,2022
"91","CO",1,2022-07-23,30,2022
"92","CO",1,2022-08-06,32,2022
"93","CO",1,2022-08-20,34,2022
"94","CO",1,2022-09-03,36,2022
"95","CO",0,2022-09-17,38,2022
"96","CO",0,2022-10-01,40,2022
"97","CO",0,2022-10-15,42,2022
"98","CO",0,2022-10-29,44,2022
"99","CO",0,2022-11-12,46,2022
"100","CO",0,2022-11-26,48,2022
"101","CO",0,2022-12-10,50,2022
"102","CO",0,2022-12-24,52,2022
"103","CO",0,2023-01-07,2,2023
"104","CO",0,2023-01-21,4,2023
"105","CO",0,2023-12-09,50,2023
"106","CO",1,2023-12-23,52,2023
"107","CO",1,2024-01-06,1,2024
"108","CO",1,2024-01-20,3,2024
"109","CO",0,2024-02-03,5,2024
"110","CO",0,2024-02-17,7,2024
"111","CO",0,2024-03-02,9,2024
"112","CO",0,2024-03-16,11,2024
"113","CO",0,2024-03-30,13,2024
"114","CO",0,2024-04-13,15,2024
"115","CO",0,2024-04-27,17,2024
"116","CO",0,2024-05-11,19,2024
"117","CO",0,2024-05-25,21,2024
"118","CO",0,2023-01-21,4,2023
"119","CO",1,2023-02-04,6,2023
"120","CO",1,2023-02-18,8,2023
"121","CO",1,2023-03-04,10,2023
"122","CO",1,2023-03-18,12,2023
"123","CO",0,2023-04-01,14,2023
"124","CO",1,2023-04-15,16,2023
"125","CO",0,2023-04-29,18,2023
"126","CO",0,2023-05-13,20,2023
"127","CO",0,2023-05-27,22,2023
"128","CO",0,2023-06-10,24,2023
"129","CO",0,2023-06-24,26,2023
"130","CO",0,2023-07-08,28,2023
"131","CO",0,2023-07-22,30,2023
"132","CO",1,2022-06-18,25,2022
"133","CO",1,2022-07-02,27,2022
"134","CO",1,2022-07-16,29,2022
"135","CO",1,2022-07-30,31,2022
"136","CO",1,2022-08-13,33,2022
"137","CO",1,2022-08-27,35,2022
"138","CO",0,2022-09-10,37,2022
"139","CO",0,2022-09-24,39,2022
"140","CO",0,2022-10-08,41,2022
"141","CO",0,2022-10-22,43,2022
"142","CO",0,2022-11-05,45,2022
"143","CO",0,2022-11-19,47,2022
"144","CO",0,2022-12-03,49,2022
"145","CO",0,2022-12-17,51,2022
"146","CO",0,2022-12-31,53,2022
"147","CO",0,2023-01-14,3,2023
"148","CO",1,2023-12-16,51,2023
"149","CO",1,2023-12-30,53,2023
"150","CO",1,2024-01-13,2,2024
"151","CO",1,2024-01-27,4,2024
"152","CO",0,2024-02-10,6,2024
"153","CO",0,2024-02-24,8,2024
"154","CO",0,2024-03-09,10,2024
"155","CO",0,2024-03-23,12,2024
"156","CO",0,2024-04-06,14,2024
"157","CO",0,2024-04-20,16,2024
"158","CO",0,2024-05-04,18,2024
"159","CO",0,2024-05-18,20,2024
"160","CO",1,2023-01-28,5,2023
"161","CO",1,2023-02-11,7,2023
"162","CO",1,2023-02-25,9,2023
"163","CO",1,2023-03-11,11,2023
"164","CO",0,2023-03-25,13,2023
"165","CO",0,2023-04-08,15,2023
"166","CO",0,2023-04-22,17,2023
"167","CO",0,2023-05-06,19,2023
"168","CO",0,2023-05-20,21,2023
"169","CO",0,2023-06-03,23,2023
"170","CO",0,2023-06-17,25,2023
"171","CO",0,2023-07-01,27,2023
"172","CO",0,2023-07-15,29,2023
"173","CT",0,2022-06-11,24,2022
"174","CT",1,2022-06-25,26,2022
"175","CT",1,2022-07-09,28,2022
"176","CT",1,2022-07-23,30,2022
"177","CT",1,2022-08-06,32,2022
"178","CT",1,2022-08-20,34,2022
"179","CT",1,2022-09-03,36,2022
"180","CT",0,2022-09-17,38,2022
"181","CT",0,2022-10-01,40,2022
"182","CT",0,2022-10-15,42,2022
"183","CT",0,2022-10-29,44,2022
"184","CT",0,2022-11-12,46,2022
"185","CT",0,2022-11-26,48,2022
"186","CT",0,2022-12-10,50,2022
"187","CT",0,2022-12-24,52,2022
"188","CT",0,2023-11-25,48,2023
"189","CT",1,2023-12-09,50,2023
"190","CT",1,2023-12-23,52,2023
"191","CT",1,2024-01-06,1,2024
"192","CT",1,2024-01-20,3,2024
"193","CT",0,2024-02-03,5,2024
"194","CT",0,2024-02-17,7,2024
"195","CT",0,2024-03-02,9,2024
"196","CT",0,2024-03-16,11,2024
"197","CT",0,2024-03-30,13,2024
"198","CT",0,2024-04-13,15,2024
"199","CT",0,2024-04-27,17,2024
"200","CT",0,2024-05-11,19,2024
"201","CT",0,2024-05-25,21,2024
"202","CT",0,2024-06-08,23,2024
"203","CT",0,2022-12-10,50,2022
"204","CT",1,2022-12-24,52,2022
"205","CT",1,2023-01-07,2,2023
"206","CT",1,2023-01-21,4,2023
"207","CT",1,2023-02-04,6,2023
"208","CT",1,2023-02-18,8,2023
"209","CT",0,2023-03-04,10,2023
"210","CT",0,2023-03-18,12,2023
"211","CT",0,2023-04-01,14,2023
"212","CT",0,2023-04-15,16,2023
"213","CT",0,2023-04-29,18,2023
"214","CT",0,2023-05-13,20,2023
"215","CT",0,2023-05-27,22,2023
"216","CT",0,2023-06-10,24,2023
"217","CT",0,2023-06-24,26,2023
"218","CT",0,2023-07-08,28,2023
"219","CT",0,2023-07-22,30,2023
"220","CT",0,2023-08-05,32,2023
"221","CT",1,2022-06-18,25,2022
"222","CT",1,2022-07-02,27,2022
"223","CT",1,2022-07-16,29,2022
"224","CT",1,2022-07-30,31,2022
"225","CT",1,2022-08-13,33,2022
"226","CT",1,2022-08-27,35,2022
"227","CT",0,2022-09-10,37,2022
"228","CT",0,2022-09-24,39,2022
"229","CT",0,2022-10-08,41,2022
"230","CT",0,2022-10-22,43,2022
"231","CT",0,2022-11-05,45,2022
"232","CT",0,2022-11-19,47,2022
"233","CT",0,2022-12-03,49,2022
"234","CT",0,2022-12-17,51,2022
"235","CT",1,2023-12-02,49,2023
"236","CT",1,2023-12-16,51,2023
"237","CT",1,2023-12-30,53,2023
"238","CT",1,2024-01-13,2,2024
"239","CT",1,2024-01-27,4,2024
"240","CT",0,2024-02-10,6,2024
"241","CT",0,2024-02-24,8,2024
"242","CT",0,2024-03-09,10,2024
"243","CT",0,2024-03-23,12,2024
"244","CT",0,2024-04-06,14,2024
"245","CT",0,2024-04-20,16,2024
"246","CT",0,2024-05-04,18,2024
"247","CT",0,2024-05-18,20,2024
"248","CT",0,2024-06-01,22,2024
"249","CT",1,2022-12-17,51,2022
"250","CT",1,2022-12-31,53,2022
"251","CT",1,2023-01-14,3,2023
"252","CT",1,2023-01-28,5,2023
"253","CT",1,2023-02-11,7,2023
"254","CT",1,2023-02-25,9,2023
"255","CT",0,2023-03-11,11,2023
"256","CT",0,2023-03-25,13,2023
"257","CT",0,2023-04-08,15,2023
"258","CT",0,2023-04-22,17,2023
"259","CT",0,2023-05-06,19,2023
"260","CT",0,2023-05-20,21,2023
"261","CT",0,2023-06-03,23,2023
"262","CT",0,2023-06-17,25,2023
"263","CT",0,2023-07-01,27,2023
"264","CT",0,2023-07-15,29,2023
"265","CT",0,2023-07-29,31,2023
"266","GA",0,2022-06-11,24,2022
"267","GA",1,2022-06-25,26,2022
"268","GA",1,2022-07-09,28,2022
"269","GA",1,2022-07-23,30,2022
"270","GA",1,2022-08-06,32,2022
"271","GA",1,2022-08-20,34,2022
"272","GA",0,2022-09-03,36,2022
"273","GA",0,2022-09-17,38,2022
"274","GA",0,2022-10-01,40,2022
"275","GA",0,2022-10-15,42,2022
"276","GA",0,2022-10-29,44,2022
"277","GA",0,2022-11-12,46,2022
"278","GA",0,2022-11-26,48,2022
"279","GA",0,2022-12-10,50,2022
"280","GA",0,2022-12-24,52,2022
"281","GA",0,2023-12-09,50,2023
"282","GA",1,2023-12-23,52,2023
"283","GA",1,2024-01-06,1,2024
"284","GA",1,2024-01-20,3,2024
"285","GA",0,2024-02-03,5,2024
"286","GA",0,2024-02-17,7,2024
"287","GA",0,2024-03-02,9,2024
"288","GA",0,2024-03-16,11,2024
"289","GA",0,2024-03-30,13,2024
"290","GA",0,2024-04-13,15,2024
"291","GA",0,2024-04-27,17,2024
"292","GA",0,2024-05-11,19,2024
"293","GA",0,2023-01-07,2,2023
"294","GA",1,2023-01-21,4,2023
"295","GA",1,2023-02-04,6,2023
"296","GA",1,2023-02-18,8,2023
"297","GA",1,2023-03-04,10,2023
"298","GA",1,2023-03-18,12,2023
"299","GA",1,2023-04-01,14,2023
"300","GA",0,2023-04-15,16,2023
"301","GA",0,2023-04-29,18,2023
"302","GA",0,2023-05-13,20,2023
"303","GA",0,2023-05-27,22,2023
"304","GA",0,2023-06-10,24,2023
"305","GA",0,2023-06-24,26,2023
"306","GA",0,2023-07-08,28,2023
"307","GA",0,2023-07-22,30,2023
"308","GA",0,2023-08-05,32,2023
"309","GA",1,2022-06-18,25,2022
"310","GA",1,2022-07-02,27,2022
"311","GA",1,2022-07-16,29,2022
"312","GA",1,2022-07-30,31,2022
"313","GA",1,2022-08-13,33,2022
"314","GA",1,2022-08-27,35,2022
"315","GA",0,2022-09-10,37,2022
"316","GA",0,2022-09-24,39,2022
"317","GA",0,2022-10-08,41,2022
"318","GA",0,2022-10-22,43,2022
"319","GA",0,2022-11-05,45,2022
"320","GA",0,2022-11-19,47,2022
"321","GA",0,2022-12-03,49,2022
"322","GA",0,2022-12-17,51,2022
"323","GA",1,2023-12-16,51,2023
"324","GA",1,2023-12-30,53,2023
"325","GA",1,2024-01-13,2,2024
"326","GA",1,2024-01-27,4,2024
"327","GA",0,2024-02-10,6,2024
"328","GA",0,2024-02-24,8,2024
"329","GA",0,2024-03-09,10,2024
"330","GA",0,2024-03-23,12,2024
"331","GA",0,2024-04-06,14,2024
"332","GA",0,2024-04-20,16,2024
"333","GA",0,2024-05-04,18,2024
"334","GA",1,2023-01-14,3,2023
"335","GA",1,2023-01-28,5,2023
"336","GA",1,2023-02-11,7,2023
"337","GA",1,2023-02-25,9,2023
"338","GA",1,2023-03-11,11,2023
"339","GA",1,2023-03-25,13,2023
"340","GA",0,2023-04-08,15,2023
"341","GA",0,2023-04-22,17,2023
"342","GA",0,2023-05-06,19,2023
"343","GA",0,2023-05-20,21,2023
"344","GA",0,2023-06-03,23,2023
"345","GA",0,2023-06-17,25,2023
"346","GA",0,2023-07-01,27,2023
"347","GA",0,2023-07-15,29,2023
"348","GA",0,2023-07-29,31,2023
"349","MD",0,2022-06-25,26,2022
"350","MD",1,2022-07-09,28,2022
"351","MD",1,2022-07-23,30,2022
"352","MD",1,2022-08-06,32,2022
"353","MD",1,2022-08-20,34,2022
"354","MD",0,2022-09-03,36,2022
"355","MD",0,2022-09-17,38,2022
"356","MD",0,2022-10-01,40,2022
"357","MD",0,2022-10-15,42,2022
"358","MD",0,2022-10-29,44,2022
"359","MD",0,2022-11-12,46,2022
"360","MD",0,2022-11-26,48,2022
"361","MD",0,2022-12-10,50,2022
"362","MD",0,2022-12-24,52,2022
