Surveillance Network,Season,MMWR Year,MMWR Week,Age group,Sex,Race/Ethnicity,Site,Weekly Rate,Cumulative Rate,Week Ending Date,Type
Combined,2021-22,2022.0,39.0,Overall,Overall,Overall,Utah,4.8,506.0,2022-10-01 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,38.0,Overall,Overall,Overall,Utah,3.6,501.0,2022-09-24 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,37.0,Overall,Overall,Overall,Utah,4.8999999999999995,498.0,2022-09-17 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,36.0,Overall,Overall,Overall,Utah,3.9,493.0,2022-09-10 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,35.0,Overall,Overall,Overall,Utah,4.0,489.0,2022-09-03 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,34.0,Overall,Overall,Overall,Utah,4.6,485.0,2022-08-27 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,33.0,Overall,Overall,Overall,Utah,5.1,480.0,2022-08-20 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,32.0,Overall,Overall,Overall,Utah,6.6000000000000005,475.0,2022-08-13 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,31.0,Overall,Overall,Overall,Utah,6.7,469.0,2022-08-06 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,30.0,Overall,Overall,Overall,Utah,8.1,462.0,2022-07-30 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,29.0,Overall,Overall,Overall,Utah,8.6,454.0,2022-07-23 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,28.0,Overall,Overall,Overall,Utah,5.6,445.0,2022-07-16 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,27.0,Overall,Overall,Overall,Utah,8.8,440.0,2022-07-09 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,26.0,Overall,Overall,Overall,Utah,11.5,431.0,2022-07-02 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,25.0,Overall,Overall,Overall,Utah,8.4,419.0,2022-06-25 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,24.0,Overall,Overall,Overall,Utah,7.6,411.0,2022-06-18 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,23.0,Overall,Overall,Overall,Utah,8.799999999999999,403.0,2022-06-11 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,22.0,Overall,Overall,Overall,Utah,6.3999999999999995,394.0,2022-06-04 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,21.0,Overall,Overall,Overall,Utah,6.2,388.0,2022-05-28 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,20.0,Overall,Overall,Overall,Utah,5.1,382.0,2022-05-21 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,19.0,Overall,Overall,Overall,Utah,3.9000000000000004,377.0,2022-05-14 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,18.0,Overall,Overall,Overall,Utah,4.3,373.0,2022-05-07 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,17.0,Overall,Overall,Overall,Utah,4.5,368.0,2022-04-30 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,16.0,Overall,Overall,Overall,Utah,4.7,364.0,2022-04-23 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,15.0,Overall,Overall,Overall,Utah,4.3999999999999995,359.0,2022-04-16 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,14.0,Overall,Overall,Overall,Utah,4.3,355.0,2022-04-09 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,13.0,Overall,Overall,Overall,Utah,5.0,351.0,2022-04-02 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,12.0,Overall,Overall,Overall,Utah,5.2,346.0,2022-03-26 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,11.0,Overall,Overall,Overall,Utah,6.2,340.0,2022-03-19 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,10.0,Overall,Overall,Overall,Utah,5.199999999999999,334.0,2022-03-12 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,9.0,Overall,Overall,Overall,Utah,7.2,329.0,2022-03-05 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,8.0,Overall,Overall,Overall,Utah,7.6,322.0,2022-02-26 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,7.0,Overall,Overall,Overall,Utah,8.4,314.0,2022-02-19 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,6.0,Overall,Overall,Overall,Utah,14.2,306.0,2022-02-12 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,5.0,Overall,Overall,Overall,Utah,18.3,292.0,2022-02-05 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,4.0,Overall,Overall,Overall,Utah,23.2,273.0,2022-01-29 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,3.0,Overall,Overall,Overall,Utah,31.599999999999998,250.0,2022-01-22 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,2.0,Overall,Overall,Overall,Utah,29.3,219.0,2022-01-15 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,1.0,Overall,Overall,Overall,Utah,24.200000000000003,189.0,2022-01-08 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,52.0,Overall,Overall,Overall,Utah,14.1,165.0,2022-01-01 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,51.0,Overall,Overall,Overall,Utah,10.4,151.0,2021-12-25 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,50.0,Overall,Overall,Overall,Utah,12.5,141.0,2021-12-18 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,49.0,Overall,Overall,Overall,Utah,14.8,128.0,2021-12-11 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,48.0,Overall,Overall,Overall,Utah,15.5,113.0,2021-12-04 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,47.0,Overall,Overall,Overall,Utah,12.5,98.0,2021-11-27 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,46.0,Overall,Overall,Overall,Utah,11.4,85.0,2021-11-20 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,45.0,Overall,Overall,Overall,Utah,12.8,74.0,2021-11-13 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,44.0,Overall,Overall,Overall,Utah,13.4,61.0,2021-11-06 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,43.0,Overall,Overall,Overall,Utah,12.600000000000001,48.0,2021-10-30 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,42.0,Overall,Overall,Overall,Utah,12.7,35.0,2021-10-23 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,41.0,Overall,Overall,Overall,Utah,11.3,22.0,2021-10-16 00:00:00,Unadjusted Rate
Combined,2021-22,2021.0,40.0,Overall,Overall,Overall,Utah,11.0,11.0,2021-10-09 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,39.0,Overall,Overall,Overall,Tennessee,4.800000000000001,503.0,2022-10-01 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,38.0,Overall,Overall,Overall,Tennessee,6.3,498.0,2022-09-24 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,37.0,Overall,Overall,Overall,Tennessee,5.7,492.0,2022-09-17 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,36.0,Overall,Overall,Overall,Tennessee,8.7,486.0,2022-09-10 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,35.0,Overall,Overall,Overall,Tennessee,8.7,477.0,2022-09-03 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,34.0,Overall,Overall,Overall,Tennessee,10.7,468.0,2022-08-27 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,33.0,Overall,Overall,Overall,Tennessee,9.299999999999999,458.0,2022-08-20 00:00:00,Unadjusted Rate
Combined,2021-22,2022.0,32.0,Overall,Overall,Overall,Tennessee,10.3,448.0,2022-08-13 00:00:00,Unadjusted Rate
