system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_00000000000000000021,1857233047,225282636,41860,H1,013,01675903,488,A,06013,+37.9194790,-121.9515431,06,36084,G4020,Contra Costa,Contra Costa County,06,2022-01-01,68.84213655577601,1640995200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000023,1909598013,216923745,41860,H1,001,01675839,488,A,06001,+37.6471385,-121.9124880,06,36084,G4020,Alameda,Alameda County,06,2022-01-01,68.7056406248092,1640995200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001f,121375681,479216672,41860,H6,075,00277302,488,C,06075,+37.7272391,-123.0322294,06,41884,G4020,San Francisco,San Francisco County,06,2022-01-01,71.61914789430733,1640995200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000021,1857233047,225282636,41860,H1,013,01675903,488,A,06013,+37.9194790,-121.9515431,06,36084,G4020,Contra Costa,Contra Costa County,06,2022-01-02,77.55016747528074,1641081600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000023,1909598013,216923745,41860,H1,001,01675839,488,A,06001,+37.6471385,-121.9124880,06,36084,G4020,Alameda,Alameda County,06,2022-01-02,71.4343020689595,1641081600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001f,121375681,479216672,41860,H6,075,00277302,488,C,06075,+37.7272391,-123.0322294,06,41884,G4020,San Francisco,San Francisco County,06,2022-01-02,75.20769725034792,1641081600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000021,1857233047,225282636,41860,H1,013,01675903,488,A,06013,+37.9194790,-121.9515431,06,36084,G4020,Contra Costa,Contra Costa County,06,2022-01-03,86.22190235211013,1641168000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000023,1909598013,216923745,41860,H1,001,01675839,488,A,06001,+37.6471385,-121.9124880,06,36084,G4020,Alameda,Alameda County,06,2022-01-03,85.93932219497793,1641168000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000001f,121375681,479216672,41860,H6,075,00277302,488,C,06075,+37.7272391,-123.0322294,06,41884,G4020,San Francisco,San Francisco County,06,2022-01-03,86.16399506963424,1641168000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000021,1857233047,225282636,41860,H1,013,01675903,488,A,06013,+37.9194790,-121.9515431,06,36084,G4020,Contra Costa,Contra Costa County,06,2022-01-04,88.88557572683861,1641254400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
