system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-01,35.74718894803626,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-01,27.71930400825998,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-01,35.97181186543527,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-01,26.835389405653473,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-01,28.19326770864147,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-02,40.252181543826495,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-02,32.18644884212701,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-02,40.05942485094962,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-02,31.03925834247015,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-02,32.87690230997098,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-03,43.012292187642835,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-03,40.27204642796139,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-03,39.767364834518574,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-03,38.46021695832437,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-03,37.72007303009963,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-04,47.550466210182556,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-04,45.4096441532646,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-04,46.631673453505066,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-04,43.393471431605036,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-04,45.59768574003908,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-05,36.22813030507198,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-05,25.149469633267778,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-05,35.108360460625654,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-05,24.974248847834264,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-05,27.537728042801298,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
