system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_00000000000000000477,366930141,6989148,12060,H1,063,01672399,122,A,13063,+33.5426863,-084.3555727,06,,G4020,Clayton,Clayton County,13,2021-12-01,69.47860779196155,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000478,693405943,8955544,12060,H1,089,01687424,122,A,13089,+33.7706611,-084.2263432,06,,G4020,DeKalb,DeKalb County,13,2021-12-01,72.2066176924177,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000486,518246643,2531970,12060,H1,097,01686467,122,A,13097,+33.7012421,-084.7673139,06,,G4020,Douglas,Douglas County,13,2021-12-01,70.30810915401338,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000488,1115127417,16080075,12060,H1,135,01688166,122,A,13135,+33.9591457,-084.0230870,06,,G4020,Gwinnett,Gwinnett County,13,2021-12-01,73.80076030861507,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000048a,336212812,5918273,12060,H1,247,00357592,122,A,13247,+33.6520811,-084.0263696,06,,G4020,Rockdale,Rockdale County,13,2021-12-01,70.2504645954884,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000048e,1364248547,19674940,12060,H1,121,01694833,122,A,13121,+33.7900338,-084.4681816,06,,G4020,Fulton,Fulton County,13,2021-12-01,71.80444773120132,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000490,879964563,12464091,12060,H1,067,01686112,122,A,13067,+33.9399407,-084.5741668,06,,G4020,Cobb,Cobb County,13,2021-12-01,73.09571861844454,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000492,709007143,14112186,12060,H1,217,01673547,122,A,13217,+33.5440407,-083.8551837,06,,G4020,Newton,Newton County,13,2021-12-01,68.78079549113048,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000477,366930141,6989148,12060,H1,063,01672399,122,A,13063,+33.5426863,-084.3555727,06,,G4020,Clayton,Clayton County,13,2021-12-02,67.67827863007194,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000478,693405943,8955544,12060,H1,089,01687424,122,A,13089,+33.7706611,-084.2263432,06,,G4020,DeKalb,DeKalb County,13,2021-12-02,68.5698722116396,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000486,518246643,2531970,12060,H1,097,01686467,122,A,13097,+33.7012421,-084.7673139,06,,G4020,Douglas,Douglas County,13,2021-12-02,68.90703468172536,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
