system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_000000000000000006f3,922683745,31384772,33460,H1,139,00659514,378,A,27139,+44.6518050,-093.5337311,06,,G4020,Scott,Scott County,27,2021-12-01,75.82328726829317,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f5,1456708511,63156958,33460,H1,037,00659464,378,A,27037,+44.6708930,-093.0624813,06,,G4020,Dakota,Dakota County,27,2021-12-01,77.73631919078791,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f6,1092919450,62411173,33460,H1,003,00659447,378,A,27003,+45.2741098,-093.2427232,06,,G4020,Anoka,Anoka County,27,2021-12-01,79.21376607366233,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f7,394246995,46264475,33460,H1,123,00659507,378,A,27123,+45.0152037,-093.0999648,06,,G4020,Ramsey,Ramsey County,27,2021-12-01,77.85016045404127,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f9,995612473,99462943,33460,H1,163,00659526,378,A,27163,+45.0379290,-092.8901170,06,,G4020,Washington,Washington County,27,2021-12-01,78.74349736587511,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006fc,917370948,56746217,33460,H1,019,00659455,378,A,27019,+44.8213196,-093.8000913,06,,G4020,Carver,Carver County,27,2021-12-01,76.06870397156044,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006fd,1434458964,136553032,33460,H1,053,00659472,378,A,27053,+45.0061209,-093.4752279,06,,G4020,Hennepin,Hennepin County,27,2021-12-01,78.08866723985736,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f3,922683745,31384772,33460,H1,139,00659514,378,A,27139,+44.6518050,-093.5337311,06,,G4020,Scott,Scott County,27,2021-12-02,61.77929386326931,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f5,1456708511,63156958,33460,H1,037,00659464,378,A,27037,+44.6708930,-093.0624813,06,,G4020,Dakota,Dakota County,27,2021-12-02,62.17697493343263,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f6,1092919450,62411173,33460,H1,003,00659447,378,A,27003,+45.2741098,-093.2427232,06,,G4020,Anoka,Anoka County,27,2021-12-02,66.93207448341155,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f7,394246995,46264475,33460,H1,123,00659507,378,A,27123,+45.0152037,-093.0999648,06,,G4020,Ramsey,Ramsey County,27,2021-12-02,65.32158166135841,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f9,995612473,99462943,33460,H1,163,00659526,378,A,27163,+45.0379290,-092.8901170,06,,G4020,Washington,Washington County,27,2021-12-02,66.17551943343064,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006fc,917370948,56746217,33460,H1,019,00659455,378,A,27019,+44.8213196,-093.8000913,06,,G4020,Carver,Carver County,27,2021-12-02,62.49140951938162,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006fd,1434458964,136553032,33460,H1,053,00659472,378,A,27053,+45.0061209,-093.4752279,06,,G4020,Hennepin,Hennepin County,27,2021-12-02,64.56898838048804,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
