system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-01,35.883891190830234,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-01,29.493740792439205,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-01,50.63746119929106,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-01,45.176519052172324,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-01,32.229310341173445,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-01,38.22293088348822,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-01,47.52349790033438,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-02,27.279821355416026,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-02,28.070579640185418,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-02,52.907991247447505,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-02,43.30212054649516,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-02,28.491828042875508,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-02,42.202807009455384,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-02,44.11530398363076,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-03,29.932850134475434,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-03,35.72502464718329,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-03,55.127166285776696,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-03,45.566562667248014,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-03,35.51687388139441,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-03,48.13328963182661,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-03,53.43983436265788,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-04,38.0807750042741,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-04,41.33857707978419,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-04,45.063867708428916,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-04,47.85974023594786,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-04,38.81028205140264,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-04,41.42011349452213,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-04,42.17665778989669,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-05,37.08276808661825,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-05,39.94619969447291,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-05,40.988067884806604,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-05,48.85459401835006,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-05,33.62673121257264,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-05,35.30984788103202,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-05,39.17885873467925,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-06,37.132702365588024,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-06,42.08062408341264,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-06,39.1532914442353,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-06,40.5330216556209,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-06,30.425234020847533,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-06,34.730741748017394,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-06,37.20332945588841,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-07,39.18662844459187,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-07,42.776049878169275,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-07,39.24872223061744,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-07,49.281969007718736,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-07,32.75902836725049,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-07,37.00539462856165,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-07,37.27907765912449,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-08,52.64387895956738,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-08,55.93729936457352,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-08,37.60079668955219,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-08,66.92607108687895,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-08,31.61361382563852,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-08,37.41555754140719,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-08,33.19865857359159,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-09,40.20658291080976,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-09,47.82504567099943,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-09,32.43407434763266,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-09,65.01002137224633,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-09,25.431621212585654,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-09,36.152451529312586,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-09,32.02227191923931,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-10,42.10631908285605,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-10,50.640927997690255,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-10,57.0796615134501,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-10,66.63025300154324,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-10,37.58576037711363,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-10,65.16828394486191,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-10,50.05710784115813,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-11,28.63271311717349,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-11,26.454814371143677,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-11,51.15470971925427,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-11,44.27943467436943,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-11,23.854216415631022,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-11,58.309000482677796,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-11,40.149266199250434,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-12,22.28015502343147,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-12,20.64179746329052,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-12,41.37672275799433,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-12,36.89094077618007,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-12,27.968249596539813,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-12,45.340421272705726,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-12,36.4700360211187,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-13,29.398565947460565,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-13,23.23264282182234,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-13,43.947677586803714,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000730,14289489115,54969313,22140,H1,045,00936844,,A,35045,+36.5116245,-108.3245778,06,,G4020,San Juan,San Juan County,35,2021-12-13,45.06932638392613,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000733,15713867248,20519782,40740,H1,005,01702364,,A,35005,+33.3616045,-104.4698374,06,,G4020,Chaves,Chaves County,35,2021-12-13,40.29670422130473,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000735,10259428091,15345466,43500,H1,017,00915980,,A,35017,+32.7320870,-108.3815043,06,,G4020,Grant,Grant County,35,2021-12-13,47.91652732708895,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000888,9863129095,17626170,29740,H1,013,00929109,238,A,35013,+32.3499190,-106.8349684,06,,G4020,Doña Ana,Doña Ana County,35,2021-12-13,44.788260396870804,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000045e,3007639331,15855131,10740,H1,001,01702363,106,A,35001,+35.0536280,-106.6690805,06,,G4020,Bernalillo,Bernalillo County,35,2021-12-14,44.49018247089647,1639440000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000463,4947127762,3376512,42140,H1,049,00933322,106,A,35049,+35.5145305,-105.9639718,06,,G4020,Santa Fe,Santa Fe County,35,2021-12-14,43.84070105716191,1639440000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000072f,7679944776,433660,19700,H1,029,00933057,,A,35029,+32.1845231,-107.7471911,06,,G4020,Luna,Luna County,35,2021-12-14,43.19188042308677,1639440000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
