system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_00000000000000000823,1298196084,13769343,18140,H1,129,01074077,198,A,39129,+39.6489470,-083.0528267,06,,G4020,Pickaway,Pickaway County,39,2021-12-01,86.15831108779736,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000824,1091232036,5959241,18140,H1,073,01074049,198,A,39073,+39.4903424,-082.4834473,06,,G4020,Hocking,Hocking County,39,2021-12-01,85.68116059982526,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000825,1147779363,36698376,18140,H1,041,01074033,198,A,39041,+40.2789411,-083.0074622,06,,G4020,Delaware,Delaware County,39,2021-12-01,85.52327466455637,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000826,1051881046,2819351,18140,H1,117,01074071,198,A,39117,+40.5252659,-082.7977288,06,,G4020,Morrow,Morrow County,39,2021-12-01,84.09391472497528,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000827,1056544342,11790392,18140,H1,127,01074076,198,A,39127,+39.7431874,-082.2379525,06,,G4020,Perry,Perry County,39,2021-12-01,86.30726053897551,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000828,1118226926,13266460,18140,H1,159,01074091,198,A,39159,+40.2959008,-083.3670416,06,,G4020,Union,Union County,39,2021-12-01,85.60424037246632,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000829,1306415009,10754493,18140,H1,045,01074035,198,A,39045,+39.7476940,-082.6266850,06,,G4020,Fairfield,Fairfield County,39,2021-12-01,86.55992492590401,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000082a,1767505133,12752911,18140,H1,089,01074057,198,A,39089,+40.0915047,-082.4834352,06,,G4020,Licking,Licking County,39,2021-12-01,86.20489010215064,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000082b,1206498201,2066974,18140,H1,097,01074061,198,A,39097,+39.8966074,-083.4008847,06,,G4020,Madison,Madison County,39,2021-12-01,86.61693901220731,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000082c,1378944435,29034069,18140,H1,049,01074037,198,A,39049,+39.9698749,-083.0090858,06,,G4020,Franklin,Franklin County,39,2021-12-01,86.30488962470983,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000823,1298196084,13769343,18140,H1,129,01074077,198,A,39129,+39.6489470,-083.0528267,06,,G4020,Pickaway,Pickaway County,39,2021-12-02,83.02804092273679,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000824,1091232036,5959241,18140,H1,073,01074049,198,A,39073,+39.4903424,-082.4834473,06,,G4020,Hocking,Hocking County,39,2021-12-02,85.14903705120396,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000825,1147779363,36698376,18140,H1,041,01074033,198,A,39041,+40.2789411,-083.0074622,06,,G4020,Delaware,Delaware County,39,2021-12-02,81.87226820740132,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000826,1051881046,2819351,18140,H1,117,01074071,198,A,39117,+40.5252659,-082.7977288,06,,G4020,Morrow,Morrow County,39,2021-12-02,80.85432512698854,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000827,1056544342,11790392,18140,H1,127,01074076,198,A,39127,+39.7431874,-082.2379525,06,,G4020,Perry,Perry County,39,2021-12-02,86.2951847937288,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000828,1118226926,13266460,18140,H1,159,01074091,198,A,39159,+40.2959008,-083.3670416,06,,G4020,Union,Union County,39,2021-12-02,80.20507664989472,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000829,1306415009,10754493,18140,H1,045,01074035,198,A,39045,+39.7476940,-082.6266850,06,,G4020,Fairfield,Fairfield County,39,2021-12-02,85.0200225805105,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000082a,1767505133,12752911,18140,H1,089,01074057,198,A,39089,+40.0915047,-082.4834352,06,,G4020,Licking,Licking County,39,2021-12-02,85.45633003557734,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000082b,1206498201,2066974,18140,H1,097,01074061,198,A,39097,+39.8966074,-083.4008847,06,,G4020,Madison,Madison County,39,2021-12-02,82.73201376357342,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000082c,1378944435,29034069,18140,H1,049,01074037,198,A,39049,+39.9698749,-083.0090858,06,,G4020,Franklin,Franklin County,39,2021-12-02,83.4612006262186,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000823,1298196084,13769343,18140,H1,129,01074077,198,A,39129,+39.6489470,-083.0528267,06,,G4020,Pickaway,Pickaway County,39,2021-12-03,66.41421384910089,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
