system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-01,78.87484589459129,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-01,82.21722124725065,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-01,80.76929592971206,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c7,1509616958,3007980,34980,H1,187,01639801,400,A,47187,+35.8948075,-086.8980679,06,,G4020,Williamson,Williamson County,47,2021-12-01,79.40574917079314,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c9,783392123,11965175,34980,H1,021,01639731,400,A,47021,+36.2551687,-087.1008077,06,,G4020,Cheatham,Cheatham County,47,2021-12-01,81.18350218600395,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cb,1233648261,457701,34980,H1,147,01639786,400,A,47147,+36.5275092,-086.8693538,06,,G4020,Robertson,Robertson County,47,2021-12-01,81.98018651789211,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cc,1479119593,32063469,34980,H1,189,01639802,400,A,47189,+36.1495270,-086.2912423,06,,G4020,Wilson,Wilson County,47,2021-12-01,79.75415434095447,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cd,1304032668,56590440,34980,H6,037,01639737,400,C,47037,+36.1691287,-086.7847898,06,,G4020,Davidson,Davidson County,47,2021-12-01,82.15387245085601,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-02,74.5200900530562,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-02,79.45925673967982,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
