system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-01,66.88248625948285,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-02,71.94577663955694,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-03,74.4153787055668,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-04,72.07566067427047,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-05,63.42295375194009,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-06,62.023803750787984,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-07,61.04936508889021,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-08,70.58669792459686,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-09,84.50185775020505,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-10,78.8814695281917,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
