system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-01,5.920608195951092,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-01,9.018525366681484,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-01,5.485019595547998,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-01,9.230021977059577,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-01,8.73553760158555,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-02,7.215272106775332,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-02,10.998113298553736,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-02,7.409803935608744,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000863,2066632437,19499590,19740,H1,005,00198118,216,A,08005,+39.6445537,-104.3317065,06,,G4020,Arapahoe,Arapahoe County,08,2021-12-02,11.325358869405111,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000085e,397024697,4245400,19740,H6,031,00198131,216,C,08031,+39.7618502,-104.8811054,06,,G4020,Denver,Denver County,08,2021-12-02,10.36186575389509,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000085d,1979501357,25326322,19740,H1,059,00198145,216,A,08059,+39.5795106,-105.2454620,06,,G4020,Jefferson,Jefferson County,08,2021-12-03,5.7734852756933215,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000860,3020592854,44447105,19740,H1,001,00198116,216,A,08001,+39.8743252,-104.3318718,06,,G4020,Adams,Adams County,08,2021-12-03,8.307689987163414,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000861,2176237637,6797058,19740,H1,035,00198133,216,A,08035,+39.3254140,-104.9259871,06,,G4020,Douglas,Douglas County,08,2021-12-03,6.186826321191601,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
