system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_00000000000000000477,366930141,6989148,12060,H1,063,01672399,122,A,13063,+33.5426863,-084.3555727,06,,G4020,Clayton,Clayton County,13,2021-12-01,10.388964258740698,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000478,693405943,8955544,12060,H1,089,01687424,122,A,13089,+33.7706611,-084.2263432,06,,G4020,DeKalb,DeKalb County,13,2021-12-01,10.112187258256375,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000486,518246643,2531970,12060,H1,097,01686467,122,A,13097,+33.7012421,-084.7673139,06,,G4020,Douglas,Douglas County,13,2021-12-01,10.767761919003918,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000488,1115127417,16080075,12060,H1,135,01688166,122,A,13135,+33.9591457,-084.0230870,06,,G4020,Gwinnett,Gwinnett County,13,2021-12-01,10.16634802800524,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000048a,336212812,5918273,12060,H1,247,00357592,122,A,13247,+33.6520811,-084.0263696,06,,G4020,Rockdale,Rockdale County,13,2021-12-01,10.415096682126407,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000048e,1364248547,19674940,12060,H1,121,01694833,122,A,13121,+33.7900338,-084.4681816,06,,G4020,Fulton,Fulton County,13,2021-12-01,10.385435299485072,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000490,879964563,12464091,12060,H1,067,01686112,122,A,13067,+33.9399407,-084.5741668,06,,G4020,Cobb,Cobb County,13,2021-12-01,10.349829680934116,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000492,709007143,14112186,12060,H1,217,01673547,122,A,13217,+33.5440407,-083.8551837,06,,G4020,Newton,Newton County,13,2021-12-01,10.665395049448845,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000477,366930141,6989148,12060,H1,063,01672399,122,A,13063,+33.5426863,-084.3555727,06,,G4020,Clayton,Clayton County,13,2021-12-02,13.189860792544192,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000478,693405943,8955544,12060,H1,089,01687424,122,A,13089,+33.7706611,-084.2263432,06,,G4020,DeKalb,DeKalb County,13,2021-12-02,12.9661326634199,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000486,518246643,2531970,12060,H1,097,01686467,122,A,13097,+33.7012421,-084.7673139,06,,G4020,Douglas,Douglas County,13,2021-12-02,13.353661694443028,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000488,1115127417,16080075,12060,H1,135,01688166,122,A,13135,+33.9591457,-084.0230870,06,,G4020,Gwinnett,Gwinnett County,13,2021-12-02,12.56665055669071,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000048a,336212812,5918273,12060,H1,247,00357592,122,A,13247,+33.6520811,-084.0263696,06,,G4020,Rockdale,Rockdale County,13,2021-12-02,13.013766739138905,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000048e,1364248547,19674940,12060,H1,121,01694833,122,A,13121,+33.7900338,-084.4681816,06,,G4020,Fulton,Fulton County,13,2021-12-02,13.000400126313947,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000490,879964563,12464091,12060,H1,067,01686112,122,A,13067,+33.9399407,-084.5741668,06,,G4020,Cobb,Cobb County,13,2021-12-02,12.98180516190965,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000492,709007143,14112186,12060,H1,217,01673547,122,A,13217,+33.5440407,-083.8551837,06,,G4020,Newton,Newton County,13,2021-12-02,13.120248184619522,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000477,366930141,6989148,12060,H1,063,01672399,122,A,13063,+33.5426863,-084.3555727,06,,G4020,Clayton,Clayton County,13,2021-12-03,14.472232753355083,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000478,693405943,8955544,12060,H1,089,01687424,122,A,13089,+33.7706611,-084.2263432,06,,G4020,DeKalb,DeKalb County,13,2021-12-03,14.345617604748979,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000486,518246643,2531970,12060,H1,097,01686467,122,A,13097,+33.7012421,-084.7673139,06,,G4020,Douglas,Douglas County,13,2021-12-03,14.575271110810258,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000488,1115127417,16080075,12060,H1,135,01688166,122,A,13135,+33.9591457,-084.0230870,06,,G4020,Gwinnett,Gwinnett County,13,2021-12-03,14.261562190572317,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000048a,336212812,5918273,12060,H1,247,00357592,122,A,13247,+33.6520811,-084.0263696,06,,G4020,Rockdale,Rockdale County,13,2021-12-03,14.605662185940494,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000048e,1364248547,19674940,12060,H1,121,01694833,122,A,13121,+33.7900338,-084.4681816,06,,G4020,Fulton,Fulton County,13,2021-12-03,14.286688566891833,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000490,879964563,12464091,12060,H1,067,01686112,122,A,13067,+33.9399407,-084.5741668,06,,G4020,Cobb,Cobb County,13,2021-12-03,14.158212837450456,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000492,709007143,14112186,12060,H1,217,01673547,122,A,13217,+33.5440407,-083.8551837,06,,G4020,Newton,Newton County,13,2021-12-03,14.845169329773091,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000477,366930141,6989148,12060,H1,063,01672399,122,A,13063,+33.5426863,-084.3555727,06,,G4020,Clayton,Clayton County,13,2021-12-04,14.565024938099048,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000478,693405943,8955544,12060,H1,089,01687424,122,A,13089,+33.7706611,-084.2263432,06,,G4020,DeKalb,DeKalb County,13,2021-12-04,14.354413757908876,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
