system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_00000000000000000671,1467017476,21098128,29620,H1,037,01622961,330,A,26037,+42.9504550,-084.5916949,06,,G4020,Clinton,Clinton County,26,2021-12-01,-0.21432300928686907,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000672,1440364339,11878075,29620,H1,065,01622975,330,A,26065,+42.6035338,-084.3738107,06,,G4020,Ingham,Ingham County,26,2021-12-01,0.1254464804218806,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000673,1489766542,10958773,29620,H1,045,01622965,330,A,26045,+42.5895301,-084.8464499,06,,G4020,Eaton,Eaton County,26,2021-12-01,0.20762304020536537,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000872,1828460768,42602260,11460,H1,161,01623021,220,A,26161,+42.2522168,-083.8434233,06,,G4020,Washtenaw,Washtenaw County,26,2021-12-01,0.46659499010072625,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000879,1649727711,32694965,22420,H1,049,01622967,220,A,26049,+43.0210768,-083.7063718,06,,G4020,Genesee,Genesee County,26,2021-12-01,-0.06740236480077566,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000671,1467017476,21098128,29620,H1,037,01622961,330,A,26037,+42.9504550,-084.5916949,06,,G4020,Clinton,Clinton County,26,2021-12-02,6.405812647313268,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000672,1440364339,11878075,29620,H1,065,01622975,330,A,26065,+42.6035338,-084.3738107,06,,G4020,Ingham,Ingham County,26,2021-12-02,6.590034904558636,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000673,1489766542,10958773,29620,H1,045,01622965,330,A,26045,+42.5895301,-084.8464499,06,,G4020,Eaton,Eaton County,26,2021-12-02,6.663205173232562,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000872,1828460768,42602260,11460,H1,161,01623021,220,A,26161,+42.2522168,-083.8434233,06,,G4020,Washtenaw,Washtenaw County,26,2021-12-02,6.849032289302348,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000879,1649727711,32694965,22420,H1,049,01622967,220,A,26049,+43.0210768,-083.7063718,06,,G4020,Genesee,Genesee County,26,2021-12-02,6.130520617540914,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000671,1467017476,21098128,29620,H1,037,01622961,330,A,26037,+42.9504550,-084.5916949,06,,G4020,Clinton,Clinton County,26,2021-12-03,1.3720633534247262,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000672,1440364339,11878075,29620,H1,065,01622975,330,A,26065,+42.6035338,-084.3738107,06,,G4020,Ingham,Ingham County,26,2021-12-03,1.6173726309185439,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
