system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_000000000000000006f3,922683745,31384772,33460,H1,139,00659514,378,A,27139,+44.6518050,-093.5337311,06,,G4020,Scott,Scott County,27,2021-12-01,4.70818531304374,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f5,1456708511,63156958,33460,H1,037,00659464,378,A,27037,+44.6708930,-093.0624813,06,,G4020,Dakota,Dakota County,27,2021-12-01,4.088286851778451,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f6,1092919450,62411173,33460,H1,003,00659447,378,A,27003,+45.2741098,-093.2427232,06,,G4020,Anoka,Anoka County,27,2021-12-01,3.1709878016717092,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f7,394246995,46264475,33460,H1,123,00659507,378,A,27123,+45.0152037,-093.0999648,06,,G4020,Ramsey,Ramsey County,27,2021-12-01,3.5363509288028565,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006f9,995612473,99462943,33460,H1,163,00659526,378,A,27163,+45.0379290,-092.8901170,06,,G4020,Washington,Washington County,27,2021-12-01,3.2720174094376824,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006fc,917370948,56746217,33460,H1,019,00659455,378,A,27019,+44.8213196,-093.8000913,06,,G4020,Carver,Carver County,27,2021-12-01,4.506414465221294,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000006fd,1434458964,136553032,33460,H1,053,00659472,378,A,27053,+45.0061209,-093.4752279,06,,G4020,Hennepin,Hennepin County,27,2021-12-01,3.8110866804408325,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f3,922683745,31384772,33460,H1,139,00659514,378,A,27139,+44.6518050,-093.5337311,06,,G4020,Scott,Scott County,27,2021-12-02,7.19139154095736,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f5,1456708511,63156958,33460,H1,037,00659464,378,A,27037,+44.6708930,-093.0624813,06,,G4020,Dakota,Dakota County,27,2021-12-02,6.80806621975371,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f6,1092919450,62411173,33460,H1,003,00659447,378,A,27003,+45.2741098,-093.2427232,06,,G4020,Anoka,Anoka County,27,2021-12-02,5.37087964647315,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f7,394246995,46264475,33460,H1,123,00659507,378,A,27123,+45.0152037,-093.0999648,06,,G4020,Ramsey,Ramsey County,27,2021-12-02,5.834485482593895,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006f9,995612473,99462943,33460,H1,163,00659526,378,A,27163,+45.0379290,-092.8901170,06,,G4020,Washington,Washington County,27,2021-12-02,5.6138967005764435,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006fc,917370948,56746217,33460,H1,019,00659455,378,A,27019,+44.8213196,-093.8000913,06,,G4020,Carver,Carver County,27,2021-12-02,6.899568090931954,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000006fd,1434458964,136553032,33460,H1,053,00659472,378,A,27053,+45.0061209,-093.4752279,06,,G4020,Hennepin,Hennepin County,27,2021-12-02,6.185788281432493,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006f3,922683745,31384772,33460,H1,139,00659514,378,A,27139,+44.6518050,-093.5337311,06,,G4020,Scott,Scott County,27,2021-12-03,3.5939872863105253,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
