system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_0000000000000000021b,4845034547,31873103,38900,H1,005,01155127,440,A,41005,+45.1604934,-122.1951274,06,,G4020,Clackamas,Clackamas County,41,2021-12-01,9.636698504299527,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000021c,1116558776,88222268,38900,H1,051,01135861,440,A,41051,+45.5477107,-122.4173625,06,,G4020,Multnomah,Multnomah County,41,2021-12-01,9.944603403324757,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000021e,1875846777,6127010,38900,H1,067,01155137,440,A,41067,+45.5535419,-123.0976146,06,,G4020,Washington,Washington County,41,2021-12-01,9.4266595546131,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000021b,4845034547,31873103,38900,H1,005,01155127,440,A,41005,+45.1604934,-122.1951274,06,,G4020,Clackamas,Clackamas County,41,2021-12-02,7.570976500750331,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000021c,1116558776,88222268,38900,H1,051,01135861,440,A,41051,+45.5477107,-122.4173625,06,,G4020,Multnomah,Multnomah County,41,2021-12-02,8.720507772370087,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000021e,1875846777,6127010,38900,H1,067,01155137,440,A,41067,+45.5535419,-123.0976146,06,,G4020,Washington,Washington County,41,2021-12-02,9.254405119911358,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000021b,4845034547,31873103,38900,H1,005,01155127,440,A,41005,+45.1604934,-122.1951274,06,,G4020,Clackamas,Clackamas County,41,2021-12-03,4.085011233938594,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000021c,1116558776,88222268,38900,H1,051,01135861,440,A,41051,+45.5477107,-122.4173625,06,,G4020,Multnomah,Multnomah County,41,2021-12-03,4.793660654000057,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000021e,1875846777,6127010,38900,H1,067,01155137,440,A,41067,+45.5535419,-123.0976146,06,,G4020,Washington,Washington County,41,2021-12-03,4.744101736540479,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000021b,4845034547,31873103,38900,H1,005,01155127,440,A,41005,+45.1604934,-122.1951274,06,,G4020,Clackamas,Clackamas County,41,2021-12-04,4.364830870334625,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
