system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-01,9.982870591744744,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-01,9.37082565354314,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-01,10.006796734387995,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c7,1509616958,3007980,34980,H1,187,01639801,400,A,47187,+35.8948075,-086.8980679,06,,G4020,Williamson,Williamson County,47,2021-12-01,9.987217717745086,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c9,783392123,11965175,34980,H1,021,01639731,400,A,47021,+36.2551687,-087.1008077,06,,G4020,Cheatham,Cheatham County,47,2021-12-01,9.886796273125574,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cb,1233648261,457701,34980,H1,147,01639786,400,A,47147,+36.5275092,-086.8693538,06,,G4020,Robertson,Robertson County,47,2021-12-01,9.537033763548164,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cc,1479119593,32063469,34980,H1,189,01639802,400,A,47189,+36.1495270,-086.2912423,06,,G4020,Wilson,Wilson County,47,2021-12-01,9.762624822353644,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001cd,1304032668,56590440,34980,H6,037,01639737,400,C,47037,+36.1691287,-086.7847898,06,,G4020,Davidson,Davidson County,47,2021-12-01,9.403719845411185,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-02,13.467512755144227,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-02,13.039359357702633,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-02,13.579035170580577,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c7,1509616958,3007980,34980,H1,187,01639801,400,A,47187,+35.8948075,-086.8980679,06,,G4020,Williamson,Williamson County,47,2021-12-02,13.617133040655244,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001c9,783392123,11965175,34980,H1,021,01639731,400,A,47021,+36.2551687,-087.1008077,06,,G4020,Cheatham,Cheatham County,47,2021-12-02,13.628050357071839,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001cb,1233648261,457701,34980,H1,147,01639786,400,A,47147,+36.5275092,-086.8693538,06,,G4020,Robertson,Robertson County,47,2021-12-02,13.20546208076739,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001cc,1479119593,32063469,34980,H1,189,01639802,400,A,47189,+36.1495270,-086.2912423,06,,G4020,Wilson,Wilson County,47,2021-12-02,13.247999655572151,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000001cd,1304032668,56590440,34980,H6,037,01639737,400,C,47037,+36.1691287,-086.7847898,06,,G4020,Davidson,Davidson County,47,2021-12-02,13.450242259512232,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-03,13.468730132913958,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-03,13.077785552361266,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-03,13.981955539609178,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001c7,1509616958,3007980,34980,H1,187,01639801,400,A,47187,+35.8948075,-086.8980679,06,,G4020,Williamson,Williamson County,47,2021-12-03,13.728377920839991,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001c9,783392123,11965175,34980,H1,021,01639731,400,A,47021,+36.2551687,-087.1008077,06,,G4020,Cheatham,Cheatham County,47,2021-12-03,13.901960942101882,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001cb,1233648261,457701,34980,H1,147,01639786,400,A,47147,+36.5275092,-086.8693538,06,,G4020,Robertson,Robertson County,47,2021-12-03,13.382162140826814,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001cc,1479119593,32063469,34980,H1,189,01639802,400,A,47189,+36.1495270,-086.2912423,06,,G4020,Wilson,Wilson County,47,2021-12-03,13.290830884071367,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001cd,1304032668,56590440,34980,H6,037,01639737,400,C,47037,+36.1691287,-086.7847898,06,,G4020,Davidson,Davidson County,47,2021-12-03,13.249498445632604,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-04,13.726244904286952,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-04,13.295500990689266,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-04,14.314808777831768,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001c7,1509616958,3007980,34980,H1,187,01639801,400,A,47187,+35.8948075,-086.8980679,06,,G4020,Williamson,Williamson County,47,2021-12-04,13.959677532206754,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001c9,783392123,11965175,34980,H1,021,01639731,400,A,47021,+36.2551687,-087.1008077,06,,G4020,Cheatham,Cheatham County,47,2021-12-04,14.120935619697393,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001cb,1233648261,457701,34980,H1,147,01639786,400,A,47147,+36.5275092,-086.8693538,06,,G4020,Robertson,Robertson County,47,2021-12-04,13.661466704907092,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001cc,1479119593,32063469,34980,H1,189,01639802,400,A,47189,+36.1495270,-086.2912423,06,,G4020,Wilson,Wilson County,47,2021-12-04,13.433064369348154,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000001cd,1304032668,56590440,34980,H6,037,01639737,400,C,47037,+36.1691287,-086.7847898,06,,G4020,Davidson,Davidson County,47,2021-12-04,13.680243545973557,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-05,14.017066912881539,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-05,13.57551462760275,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-05,14.150756800971045,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001c7,1509616958,3007980,34980,H1,187,01639801,400,A,47187,+35.8948075,-086.8980679,06,,G4020,Williamson,Williamson County,47,2021-12-05,13.820741134130676,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001c9,783392123,11965175,34980,H1,021,01639731,400,A,47021,+36.2551687,-087.1008077,06,,G4020,Cheatham,Cheatham County,47,2021-12-05,14.01613607053406,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001cb,1233648261,457701,34980,H1,147,01639786,400,A,47147,+36.5275092,-086.8693538,06,,G4020,Robertson,Robertson County,47,2021-12-05,13.526916413080148,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001cc,1479119593,32063469,34980,H1,189,01639802,400,A,47189,+36.1495270,-086.2912423,06,,G4020,Wilson,Wilson County,47,2021-12-05,13.904583945682143,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000001cd,1304032668,56590440,34980,H6,037,01639737,400,C,47037,+36.1691287,-086.7847898,06,,G4020,Davidson,Davidson County,47,2021-12-05,13.838375459298208,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000001c0,1603845509,12453819,34980,H1,149,01639787,400,A,47149,+35.8433688,-086.4172127,06,,G4020,Rutherford,Rutherford County,47,2021-12-06,13.612180263880303,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000001c3,1371149049,35775803,34980,H1,165,01639794,400,A,47165,+36.4734430,-086.4597975,06,,G4020,Sumner,Sumner County,47,2021-12-06,12.577042877668788,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000001c6,1268830627,3682667,34980,H1,043,01639740,400,A,47043,+36.1455325,-087.3641546,06,,G4020,Dickson,Dickson County,47,2021-12-06,12.71029101390263,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
