system:index,ALAND,AWATER,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,date,mean,system:time_start,.geo
0_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-01,2.633573352011509,1638316800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-02,3.4900559181137205,1638403200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-03,3.7390579079922457,1638489600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-04,2.94284057871867,1638576000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-05,3.6386200764319305,1638662400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-06,1.692841850830156,1638748800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-07,2.0760929262291525,1638835200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-08,1.34299464992076,1638921600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-09,1.0604046158979543,1639008000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-10,-5.932170371481705,1639094400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-11,-9.782714470284382,1639180800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-12,-3.2729895786836365,1639267200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-13,-2.0374479653099438,1639353600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-14,1.153808151339734,1639440000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-15,-3.1795886989769735,1639526400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-16,-8.23748460241196,1639612800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-17,-6.4574014331706495,1639699200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-18,-9.030786971427379,1639785600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-19,-8.437010784449303,1639872000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-20,-6.10560757296391,1639958400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-21,-5.743900281972501,1640044800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-22,-6.138512296044466,1640131200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-23,-0.17421336285430208,1640217600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-24,0.7638013895205049,1640304000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-25,-0.5410296878987308,1640390400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-26,-1.413566725971455,1640476800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-27,-6.3591140468744545,1640563200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-28,-7.797972190067412,1640649600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-29,-9.37196351662098,1640736000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-30,-4.648848207734775,1640822400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2021-12-31,-4.070903077532553,1640908800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2022-01-01,-10.7654604421096,1640995200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2022-01-02,-12.527284458835277,1641081600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2022-01-03,-10.298379979931724,1641168000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2022-01-04,-4.447890848788274,1641254400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2022-01-05,-2.3473324038496655,1641340800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0000000000000000001b,1921943668,164903351,41620,H1,035,01448031,482,A,49035,+40.6678828,-111.9242397,06,,G4020,Salt Lake,Salt Lake County,49,2022-01-06,1.210657702415532,1641427200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
