Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Administered_Bivalent,Admin_Bivalent_PFR,Admin_Bivalent_MOD,Dist_Bivalent_PFR,Dist_Bivalent_MOD,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
10/30/2021,43,TX,44779195,2217800,17258060,25303335,,0,154433,,185797,207349,1199160,34509513,,34501241,31719021,7280401,1283703,12940683,20282657,,2470,119015,,143152,146874,194964,33678095,17794025,61.4,,,17787696,73.8,16302347,75.5,3382783,90.6,15467426,53.3,,,15465258,64.2,14251879,66,3052802,81.8,1188996,5632967,8645191,,272,,,,,1188726,5632444,8643817,271,1187585,5629079,7434960,255,165907,1451788,1435010,97,1448444,9.4,,,,,1444871,10.1,1131525,16.8,763025,25,492683,949360,6342,59,,,,,,,,,,,,,,,,,,,,,,
10/30/2021,43,NJ,15160695,746500,5817260,8596935,,0,170686,,199002,218340,1027470,12301100,,12300177,11415011,2915055,457700,4648632,7194364,,404,138492,,161454,164396,197559,12664320,6662856,75,,,6661980,87.4,6183402,89.1,1455538,98.6,5892769,66.3,,,5892550,77.3,5475978,78.9,1295003,87.8,461417,2144594,3286560,,198,,,,,461354,2144559,3286439,198,461130,2143991,2870674,183,86649,602503,605795,56,526010,8.9,,,,,525205,9.6,435468,15.4,305774,23.6,150518,371977,3512,3,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,53,PA,291825,0,0,0,,0,2280,0,0,0,0,84826,0,0,0,0,0,8113,76713,,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,53,AK,45250,0,0,0,,0,6186,0,0,0,0,11427,0,0,0,0,0,562,10864,,1,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/16/2020,51,WI,49725,0,0,0,,0,854,0,0,0,0,192,0,0,0,0,0,0,192,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,53,IN,164450,0,0,0,,0,2443,0,0,0,0,33635,0,0,0,0,0,86,33549,,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
10/30/2021,43,LA,6233640,274100,2645140,3314400,,0,134092,,158887,175045,841222,4866322,,4865939,4607624,1422446,165393,1985275,2713329,,2325,104679,,124026,129385,191957,4812678,2502587,53.8,,,2502287,63.8,2358828,66.2,652241,88,2215113,47.6,,,2214995,56.5,2099976,59,619088,83.5,157986,893186,1162989,,952,,,,,157962,893164,1162917,952,157823,892700,1048509,944,21474,293663,303753,198,229684,10.4,,,,,229345,10.9,195143,16.1,146542,23.7,51083,177913,677,11,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,53,WA,221150,0,0,0,,0,2904,0,0,0,0,42741,0,0,0,0,0,3152,39582,,7,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,53,WY,16725,0,0,0,,0,2890,0,0,0,0,2942,0,0,0,0,0,20,2920,,2,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/27/2020,53,VA,259600,0,0,0,,0,3041,0,0,0,0,39925,0,0,0,0,0,4681,35243,,1,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
