"current_season","Month","Numerator","Population","Jurisdiction","Estimate","Age_group_label","Legend","Child or adult"
"2023-24","APR",,,"Chicago",,"13-17 years","2023-24, Chicago: 13-17 years","Child"
"2023-24","APR",,,"Chicago",,"18+ years","2023-24, Chicago: 18+ years","Adult"
"2023-24","APR",,,"Chicago",,"18-49 years","2023-24, Chicago: 18-49 years","Adult"
"2023-24","APR",,,"Chicago",,"2-4 years","2023-24, Chicago: 2-4 years","Child"
"2023-24","APR",,,"Chicago",,"5-8 years","2023-24, Chicago: 5-8 years","Child"
"2023-24","APR",,,"Chicago",,"50-64 years","2023-24, Chicago: 50-64 years","Adult"
"2023-24","APR",,,"Chicago",,"6 months to 17 years","2023-24, Chicago: 6 months to 17 years","Child"
"2023-24","APR",,,"Chicago",,"6-23 months","2023-24, Chicago: 6-23 months","Child"
"2023-24","APR",,,"Chicago",,"65+ years","2023-24, Chicago: 65+ years","Adult"
"2023-24","APR",,,"Chicago",,"9-12 years","2023-24, Chicago: 9-12 years","Child"
"2023-24","APR",,,"Chicago",,"Overall","2023-24, Chicago: Overall","All"
"2023-24","APR",,,"Colorado",,"13-17 years","2023-24, Colorado: 13-17 years","Child"
"2023-24","APR",,,"Colorado",,"18+ years","2023-24, Colorado: 18+ years","Adult"
"2023-24","APR",,,"Colorado",,"18-49 years","2023-24, Colorado: 18-49 years","Adult"
"2023-24","APR",,,"Colorado",,"2-4 years","2023-24, Colorado: 2-4 years","Child"
"2023-24","APR",,,"Colorado",,"5-8 years","2023-24, Colorado: 5-8 years","Child"
"2023-24","APR",,,"Colorado",,"50-64 years","2023-24, Colorado: 50-64 years","Adult"
"2023-24","APR",,,"Colorado",,"6 months to 17 years","2023-24, Colorado: 6 months to 17 years","Child"
"2023-24","APR",,,"Colorado",,"6-23 months","2023-24, Colorado: 6-23 months","Child"
"2023-24","APR",,,"Colorado",,"65+ years","2023-24, Colorado: 65+ years","Adult"
"2023-24","APR",,,"Colorado",,"9-12 years","2023-24, Colorado: 9-12 years","Child"
"2023-24","APR",,,"Colorado",,"Overall","2023-24, Colorado: Overall","All"
"2023-24","APR",,,"Houston",,"13-17 years","2023-24, Houston: 13-17 years","Child"
"2023-24","APR",,,"Houston",,"18+ years","2023-24, Houston: 18+ years","Adult"
"2023-24","APR",,,"Houston",,"18-49 years","2023-24, Houston: 18-49 years","Adult"
"2023-24","APR",,,"Houston",,"2-4 years","2023-24, Houston: 2-4 years","Child"
"2023-24","APR",,,"Houston",,"5-8 years","2023-24, Houston: 5-8 years","Child"
"2023-24","APR",,,"Houston",,"50-64 years","2023-24, Houston: 50-64 years","Adult"
"2023-24","APR",,,"Houston",,"6 months to 17 years","2023-24, Houston: 6 months to 17 years","Child"
"2023-24","APR",,,"Houston",,"6-23 months","2023-24, Houston: 6-23 months","Child"
"2023-24","APR",,,"Houston",,"65+ years","2023-24, Houston: 65+ years","Adult"
"2023-24","APR",,,"Houston",,"9-12 years","2023-24, Houston: 9-12 years","Child"
"2023-24","APR",,,"Houston",,"Overall","2023-24, Houston: Overall","All"
"2023-24","APR",,,"Kansas",,"13-17 years","2023-24, Kansas: 13-17 years","Child"
"2023-24","APR",,,"Kansas",,"18+ years","2023-24, Kansas: 18+ years","Adult"
"2023-24","APR",,,"Kansas",,"18-49 years","2023-24, Kansas: 18-49 years","Adult"
"2023-24","APR",,,"Kansas",,"2-4 years","2023-24, Kansas: 2-4 years","Child"
"2023-24","APR",,,"Kansas",,"5-8 years","2023-24, Kansas: 5-8 years","Child"
"2023-24","APR",,,"Kansas",,"50-64 years","2023-24, Kansas: 50-64 years","Adult"
"2023-24","APR",,,"Kansas",,"6 months to 17 years","2023-24, Kansas: 6 months to 17 years","Child"
"2023-24","APR",,,"Kansas",,"6-23 months","2023-24, Kansas: 6-23 months","Child"
"2023-24","APR",,,"Kansas",,"65+ years","2023-24, Kansas: 65+ years","Adult"
"2023-24","APR",,,"Kansas",,"9-12 years","2023-24, Kansas: 9-12 years","Child"
"2023-24","APR",,,"Kansas",,"Overall","2023-24, Kansas: Overall","All"
"2023-24","APR",,,"Massachusetts",,"13-17 years","2023-24, Massachusetts: 13-17 years","Child"
"2023-24","APR",,,"Massachusetts",,"18+ years","2023-24, Massachusetts: 18+ years","Adult"
"2023-24","APR",,,"Massachusetts",,"18-49 years","2023-24, Massachusetts: 18-49 years","Adult"
"2023-24","APR",,,"Massachusetts",,"2-4 years","2023-24, Massachusetts: 2-4 years","Child"
"2023-24","APR",,,"Massachusetts",,"5-8 years","2023-24, Massachusetts: 5-8 years","Child"
"2023-24","APR",,,"Massachusetts",,"50-64 years","2023-24, Massachusetts: 50-64 years","Adult"
"2023-24","APR",,,"Massachusetts",,"6 months to 17 years","2023-24, Massachusetts: 6 months to 17 years","Child"
"2023-24","APR",,,"Massachusetts",,"6-23 months","2023-24, Massachusetts: 6-23 months","Child"
"2023-24","APR",,,"Massachusetts",,"65+ years","2023-24, Massachusetts: 65+ years","Adult"
"2023-24","APR",,,"Massachusetts",,"9-12 years","2023-24, Massachusetts: 9-12 years","Child"
"2023-24","APR",,,"Massachusetts",,"Overall","2023-24, Massachusetts: Overall","All"
"2023-24","APR",,,"Nebraska",,"13-17 years","2023-24, Nebraska: 13-17 years","Child"
"2023-24","APR",,,"Nebraska",,"18+ years","2023-24, Nebraska: 18+ years","Adult"
"2023-24","APR",,,"Nebraska",,"18-49 years","2023-24, Nebraska: 18-49 years","Adult"
"2023-24","APR",,,"Nebraska",,"2-4 years","2023-24, Nebraska: 2-4 years","Child"
"2023-24","APR",,,"Nebraska",,"5-8 years","2023-24, Nebraska: 5-8 years","Child"
"2023-24","APR",,,"Nebraska",,"50-64 years","2023-24, Nebraska: 50-64 years","Adult"
"2023-24","APR",,,"Nebraska",,"6 months to 17 years","2023-24, Nebraska: 6 months to 17 years","Child"
"2023-24","APR",,,"Nebraska",,"6-23 months","2023-24, Nebraska: 6-23 months","Child"
"2023-24","APR",,,"Nebraska",,"65+ years","2023-24, Nebraska: 65+ years","Adult"
"2023-24","APR",,,"Nebraska",,"9-12 years","2023-24, Nebraska: 9-12 years","Child"
"2023-24","APR",,,"Nebraska",,"Overall","2023-24, Nebraska: Overall","All"
"2023-24","APR",,,"New Hampshire",,"13-17 years","2023-24, New Hampshire: 13-17 years","Child"
"2023-24","APR",,,"New Hampshire",,"18+ years","2023-24, New Hampshire: 18+ years","Adult"
"2023-24","APR",,,"New Hampshire",,"18-49 years","2023-24, New Hampshire: 18-49 years","Adult"
"2023-24","APR",,,"New Hampshire",,"2-4 years","2023-24, New Hampshire: 2-4 years","Child"
"2023-24","APR",,,"New Hampshire",,"5-8 years","2023-24, New Hampshire: 5-8 years","Child"
"2023-24","APR",,,"New Hampshire",,"50-64 years","2023-24, New Hampshire: 50-64 years","Adult"
"2023-24","APR",,,"New Hampshire",,"6 months to 17 years","2023-24, New Hampshire: 6 months to 17 years","Child"
"2023-24","APR",,,"New Hampshire",,"6-23 months","2023-24, New Hampshire: 6-23 months","Child"
"2023-24","APR",,,"New Hampshire",,"65+ years","2023-24, New Hampshire: 65+ years","Adult"
"2023-24","APR",,,"New Hampshire",,"9-12 years","2023-24, New Hampshire: 9-12 years","Child"
"2023-24","APR",,,"New Hampshire",,"Overall","2023-24, New Hampshire: Overall","All"
"2023-24","APR",,,"North Carolina",,"13-17 years","2023-24, North Carolina: 13-17 years","Child"
"2023-24","APR",,,"North Carolina",,"18+ years","2023-24, North Carolina: 18+ years","Adult"
"2023-24","APR",,,"North Carolina",,"18-49 years","2023-24, North Carolina: 18-49 years","Adult"
"2023-24","APR",,,"North Carolina",,"2-4 years","2023-24, North Carolina: 2-4 years","Child"
"2023-24","APR",,,"North Carolina",,"5-8 years","2023-24, North Carolina: 5-8 years","Child"
"2023-24","APR",,,"North Carolina",,"50-64 years","2023-24, North Carolina: 50-64 years","Adult"
"2023-24","APR",,,"North Carolina",,"6 months to 17 years","2023-24, North Carolina: 6 months to 17 years","Child"
"2023-24","APR",,,"North Carolina",,"6-23 months","2023-24, North Carolina: 6-23 months","Child"
"2023-24","APR",,,"North Carolina",,"65+ years","2023-24, North Carolina: 65+ years","Adult"
"2023-24","APR",,,"North Carolina",,"9-12 years","2023-24, North Carolina: 9-12 years","Child"
"2023-24","APR",,,"North Carolina",,"Overall","2023-24, North Carolina: Overall","All"
"2023-24","APR",,,"Rhode Island",,"13-17 years","2023-24, Rhode Island: 13-17 years","Child"
"2023-24","APR",,,"Rhode Island",,"18+ years","2023-24, Rhode Island: 18+ years","Adult"
"2023-24","APR",,,"Rhode Island",,"18-49 years","2023-24, Rhode Island: 18-49 years","Adult"
"2023-24","APR",,,"Rhode Island",,"2-4 years","2023-24, Rhode Island: 2-4 years","Child"
"2023-24","APR",,,"Rhode Island",,"5-8 years","2023-24, Rhode Island: 5-8 years","Child"
"2023-24","APR",,,"Rhode Island",,"50-64 years","2023-24, Rhode Island: 50-64 years","Adult"
"2023-24","APR",,,"Rhode Island",,"6 months to 17 years","2023-24, Rhode Island: 6 months to 17 years","Child"
"2023-24","APR",,,"Rhode Island",,"6-23 months","2023-24, Rhode Island: 6-23 months","Child"
"2023-24","APR",,,"Rhode Island",,"65+ years","2023-24, Rhode Island: 65+ years","Adult"
"2023-24","APR",,,"Rhode Island",,"9-12 years","2023-24, Rhode Island: 9-12 years","Child"
"2023-24","APR",,,"Rhode Island",,"Overall","2023-24, Rhode Island: Overall","All"
"2023-24","APR",,,"South Carolina",,"13-17 years","2023-24, South Carolina: 13-17 years","Child"
"2023-24","APR",,,"South Carolina",,"18+ years","2023-24, South Carolina: 18+ years","Adult"
"2023-24","APR",,,"South Carolina",,"18-49 years","2023-24, South Carolina: 18-49 years","Adult"
"2023-24","APR",,,"South Carolina",,"2-4 years","2023-24, South Carolina: 2-4 years","Child"
